Product Id,Product Name,Product URL,Product Image Url,price,Currency,Spec UPC,Spec MPN,Spec BRAND,Spec ISBN,updated_at,SKU,Product Tags,blacklisted,Product Group
137800001,volumetric DRAMATIC VOLUME &amp; CURVE MASCARA,http://gade-he.netbase.co.il/makeup/eyes/mascaras/volumetric-dramatic-volume-curve-mascara,,,,,,,,2018-04-16 07:02:28 +0000,,,false,
144000000,HIGH PERFORMANCE UV PROTECTION FACE CREAM SPF 30,http://gade-he.netbase.co.il/skin-care/category/sun-care/high-performance-uv-protection-face-cream-spf-30,,,,,,,,2018-04-16 06:26:14 +0000,,,false,
yotpo_site_reviews,gadecosmetics.co.il,http://staging-42foo.yotpo.com,,,,,,,,2017-08-14 11:05:07 +0000,,,false,
12,This is product name,https://www.google.com,http://s3.amazonaws.com/yotpo-images-production/Product/25840515/19500759/original.png,,,,,,,2017-08-13 12:51:51 +0000,,,false,
